model,task,split,n_params,auc_test
gbmtuned,3913,1,1140,0.874458874458874
gbmtuned,3913,10,1140,0.900221729490022
gbmtuned,3913,2,1140,0.908008658008658
gbmtuned,3913,3,1140,0.878571428571429
gbmtuned,3913,4,1140,0.892857142857143
gbmtuned,3913,5,1140,0.913095238095238
gbmtuned,3913,6,1140,0.906873614190687
gbmtuned,3913,7,2652,0.680709534368071
gbmtuned,3913,8,1140,0.620842572062084
gbmtuned,3913,9,1140,0.78159645232816
gbmtuned,3917,1,1768,0.815904329608939
gbmtuned,3917,10,3008,0.754827949438202
gbmtuned,3917,2,1768,0.792335893854749
gbmtuned,3917,3,1768,0.819570530726257
gbmtuned,3917,4,1768,0.817585972080354
gbmtuned,3917,5,1768,0.752808988764045
gbmtuned,3917,6,3588,0.732550221314266
gbmtuned,3917,7,1768,0.810691181477698
gbmtuned,3917,8,1768,0.846356826693905
gbmtuned,3917,9,1768,0.86525366019748
gbmtuned,3918,1,608,0.721153846153846
gbmtuned,3918,10,1156,0.871012482662968
gbmtuned,3918,2,1040,0.899725274725275
gbmtuned,3918,3,1156,0.879854368932039
gbmtuned,3918,4,1156,0.760922330097087
gbmtuned,3918,5,1156,0.831917475728155
gbmtuned,3918,6,3892,0.855582524271845
gbmtuned,3918,7,1040,0.865291262135922
gbmtuned,3918,8,652,0.855582524271845
gbmtuned,3918,9,652,0.774271844660194
gbmtuned,3954,1,2904,1
gbmtuned,3954,10,2904,1
gbmtuned,3954,2,384,1
gbmtuned,3954,3,2044,1
gbmtuned,3954,4,288,1
gbmtuned,3954,5,252,1
gbmtuned,3954,6,2056,1
gbmtuned,3954,7,384,1
gbmtuned,3954,8,384,1
gbmtuned,3954,9,2056,1
gbmtuned,43,1,1776,0.98135019102761
gbmtuned,43,10,1776,0.975959919998416
gbmtuned,43,2,3648,0.990058502648431
gbmtuned,43,3,1212,0.988595936437663
gbmtuned,43,4,1776,0.990475058912058
gbmtuned,43,5,1776,0.977851046555377
gbmtuned,43,6,1776,0.987603714925048
gbmtuned,43,7,1776,0.968831065961702
gbmtuned,43,8,1776,0.982851145567239
gbmtuned,43,9,1212,0.986257153607002
gbmtuned,49,1,3088,0.989417989417989
gbmtuned,49,10,3000,0.998533724340176
gbmtuned,49,2,2316,1
gbmtuned,49,3,3000,1
gbmtuned,49,4,3000,0.996151996151996
gbmtuned,49,5,3696,0.997594997594998
gbmtuned,49,6,2032,0.999037999037999
gbmtuned,49,7,2316,0.995256166982922
gbmtuned,49,8,2032,0.995256166982922
gbmtuned,49,9,3000,0.998044965786901
gbmtuned,9946,1,2788,1
gbmtuned,9946,10,3288,1
gbmtuned,9946,2,2256,1
gbmtuned,9946,3,1388,0.977513227513228
gbmtuned,9946,4,1388,0.996031746031746
gbmtuned,9946,5,1028,1
gbmtuned,9946,6,1188,0.997354497354497
gbmtuned,9946,7,2104,0.976190476190476
gbmtuned,9946,8,3852,0.98961038961039
gbmtuned,9946,9,3852,0.996103896103896
gbmtuned,9952,1,3652,0.896769732292799
gbmtuned,9952,10,2668,0.897637795275591
gbmtuned,9952,2,3652,0.899733280648029
gbmtuned,9952,3,3652,0.874740689518917
gbmtuned,9952,4,3652,0.884454542461062
gbmtuned,9952,5,2668,0.882033269269004
gbmtuned,9952,6,2668,0.893863079064219
gbmtuned,9952,7,2668,0.925069587116442
gbmtuned,9952,8,2668,0.893713963814699
gbmtuned,9952,9,2668,0.902424932732465
gbmtuned,9957,1,976,0.918650793650794
gbmtuned,9957,10,456,0.923913043478261
gbmtuned,9957,2,456,0.950793650793651
gbmtuned,9957,3,2416,0.863492063492064
gbmtuned,9957,4,3248,0.926587301587302
gbmtuned,9957,5,456,0.890476190476191
gbmtuned,9957,6,456,0.904489795918367
gbmtuned,9957,7,456,0.958163265306123
gbmtuned,9957,8,456,0.897142857142857
gbmtuned,9957,9,976,0.96
gbmtuned,9970,1,1960,0.686777747917227
gbmtuned,9970,10,3432,0.596857923497268
gbmtuned,9970,2,1960,0.614216608438592
gbmtuned,9970,3,3432,0.659972677595628
gbmtuned,9970,4,3432,0.686475409836066
gbmtuned,9970,5,3948,0.568852459016393
gbmtuned,9970,6,1960,0.592896174863388
gbmtuned,9970,7,3432,0.539071038251366
gbmtuned,9970,8,1960,0.532786885245902
gbmtuned,9970,9,3432,0.523770491803279
gbmtuned,9971,1,244,0.749299719887955
gbmtuned,9971,10,244,0.816964285714286
gbmtuned,9971,2,244,0.619047619047619
gbmtuned,9971,3,1800,0.708683473389356
gbmtuned,9971,4,244,0.710186513629842
gbmtuned,9971,5,2832,0.707317073170732
gbmtuned,9971,6,244,0.714490674318508
gbmtuned,9971,7,244,0.769727403156385
gbmtuned,9971,8,2832,0.735119047619048
